Manager,    Package,                                               Comments
p,          aerc,                                                  email client
p,          alacritty,                                             terminal emulator
p,          aria2,                                                 multiple protocol download (including via torrents)
p,          apptainer,                                             faster alternative to docker aka singularity
p,          bat,                                                   Better cat
p,          bc,                                                    precision calculator
p,          bind,                                                  DNS protocol implementation (useful for servers)
p,          bluez,                                                 Bluetooth controller
p,          bluez-obex,                                            Bluetooth OBEX
p,          bluez-utils,                                           Bluetooth utilities
p,          bluez-libs,                                            Bluetooth libraries
p,          bore,                                                  Tunnel
p,          bpytop,                                                Better htop
p,          certbot,                                               SSL certification tool
p,          certbot-nginx,                                         certbot plugin for nginx
p,          dua-cli,                                               Better du (disc usage)
p,          duf,                                                   Better df 
p,          evtest,                                                Listening to events--useful for debugging
p,          fail2ban,                                              Protecting servers with failures to authentication being banned
p,          ffmpeg,                                                Solution to record; convert and stream audio and video
p,          figlet,                                                figured letters
p,          fzf,                                                   fuzzy search
p,          github-cli,                                            github cli
p,          gptfdisk,                                              Disc partitioning tool for GPT format
p,          htop,                                                  process viewer
p,          lf,                                                    CLI file explorer
p,          lolcat,                                                Colourise terminal text
p,          lvm2,                                                  Logical volume manager
p,          man-db,                                                manual pages
p,          man-pages,                                             manual pages
p,          mpv,                                                   video player
p,          nginx,                                                 reverse proyx server
p,          obs-studio,                                            screen recorder (Open Broadcaster Software)
p,          openconnect,                                           VPN
p,          pass,                                                  Password manager
p,          passff-host,                                           Password manager host client
p,          pciutils,                                              PCI utilities
p,          pinentry,                                              PIN dialogues
p,          pipewire-pulse,                                        Pipewire Pulse
p,          poppler,                                               PDF manipulator and previewer
p,          procs,                                                 better ps
p,          pulsemixer,                                            CLI and curses mixer for pulseaudio
p,          qrencode,                                              QR code encoder
p,          qt5-x11extras,                                         QT5 for X
p,          reptyr,                                                reparent a process' terminal (move process from one terminal to another)
p,          ripgrep,                                               Faster grep package
p,          rsync,                                                 ssh remote sync
p,          sof-firmware,                                          sound card
p,          speedtest-cli,                                         a CLI tool to test Internet speed
p,          system-config-printer,                                 printer configuration toolbox (GUI)
p,          tldr,                                                  tldr manual pages
p,          tmux,                                                  tmux session manager
p,          ufw,                                                   firewall
p,          unison,                                                file synchronisation tool
p,          vlc,                                                   VLC media player
p,          lazygit,                                               Git TUI tool
p,          zoxide,                                                Zoxide
p,          zsh,                                                   shell
p,          xcape,                                                 configure keys remaps
p,          firefox,                                               Firefox browser
p,          inkscape,                                              Inkscape
p,          libreoffice-fresh,                                     Libre Office
p,          networkmanager-openconnect,                            OpenConnect (CISCO; GlobalProtect; etc)
p,          obsidian,                                              notebook
p,          tgpt,                                                  Terminal GPT
p,          p7zip,                                                 7z extractor
p,          unzip,                                                 archive decompression
p,          zip,                                                   Zip archiver
p,          cdrtools,                                              ISO and other CD/DVD/BluRay image maker
p,          dosfstools,                                            FAT formatting
p,          exfat-utils,                                           exFAT file system
p,          nfs-utils,                                             Network file system (NFS)
p,          ntfs-3g,                                               New Technology File System (NTFS)
p,          sshfs,                                                 SSH file system (SSHFS)
p,          pandoc-cli,                                            Pandoc CLI
p,          texlive-basic,                                         TeX Live: essential programs
p,          texlive-plaingeneric,                                  TeX Live: plain (La)TeX packages
p,          texlive-latex,                                         TeX Live: LaTeX packages
p,          texlive-latexrecommended,                              TeX Live: LaTeX recommended and additional packages
p,          texlive-latexextra,                                    TeX Live: LaTeX additional packages
p,          texlive-luatex,                                        TeX Live: LuaTeX packages
p,          texlive-xetex,                                         TeX Live: XeTeX packages
p,          texlive-binextra,                                      TeX Live: auxiliary programs
p,          texlive-fontsextra,                                    TeX Live: additional fonts
p,          texlive-fontsrecommended,                              TeX Live: recommended fonts
p,          texlive-bibtexextra,                                   TeX Live: BibTeX additional styles
p,          texlive-science,                                       TeX Live: mathematics; natural and computer science packages
p,          aws-cli,                                               AWS CLI
p,          cmake,                                                 CMake
p,          docker,			                                       docker
p,          docker-buildx,                                         docker build
p,          docker-compose,                                        docker compose
p,          nodejs,                                                nodejs engine
p,          npm,                                                   node package manager
p,          yarn,                                                  node package manager
p,          simple-scan,                                           Scanner GUI
p,          signal-desktop,                                        Signal desktop client
p,          cuda-tools,                                            CUDA tools
p,          cups,                                                  printing system
p,          cups-pdf,                                              PDF printer for CUPS
p,          sane,                                                  Scanner Access Now Easy
p,          hplip,                                                 HP Utility
p,          arandr,                                                Manually setting display layout
p,          dunst,                                                 Notifications manager
p,          feh,                                                   background image setter
p,          libxinerama,                                           Libxinerama extension library (used by dwm)
p,          maim,                                                  Make image (screenshot tool)
p,          seahorse,                                              gpg key management (GUI tool)
p,          slock,                                                 screen lock
p,          sxiv,                                                  image viewer
p,          ueberzug,                                              previewer for lf
p,          xclip,                                                 X clipboard
p,          xorg-xinit,                                            xorg initialisation program
p,          xorg-xdpyinfo,                                         display information utility for X
p,          xorg-server,                                           graphics hardware manager
p,          xorg-server-xvfb,                                      virtual framebuffer X server (useful for headless renderings)
p,          xorg-xrandr,                                           interface to RandR
p,          xorg-xinput,                                           input device manager
p,          xorg-xbacklight,                                       RandR-based backlight control application
p,          xorg-xprop,                                            Property displayer for X
p,          xorg-xwininfo,                                         utility to print information about windows on an X server
p,          xdotool,                                               Command-line X11 automation tool
p,          xcompmgr,                                              The X compositing manager
p,          uv,                                                    Blazing fast package manager
p,          zathura,                                               PDF viewer
p,          zathura-pdf-mupdf,                                     MuPDF compatibility
g,          https://github.com/marlonrichert/zsh-autocomplete,     zsh autocomplete
g,          https://github.com/zsh-users/zsh-autosuggestions,      zsh autosuggestion
m,          https://github.com/ramyamounir/dwm.git,                DWM (Window Manager)
m,          https://github.com/ramyamounir/dwmblocks.git,          DWM blocks
m,          https://github.com/ramyamounir/dmenu.git,              dynamic menu (dmenu)
