Manager,    Package,                                               Comments
y,          ctpv-git,                                              Previewer for lf
p,          dunst,                                                 Notifications manager
p,          feh,                                                   background image setter
p,          libxinerama,                                           Libxinerama extension library (used by dwm)
p,          maim,                                                  Make image (screenshot tool)
p,          slock,                                                 screen lock
p,          sxiv,                                                  image viewer
p,          ueberzug,                                              previewer for lf
p,          xclip,                                                 X clipboard
p,          xorg-xinit,                                            xorg initialisation program
p,          xorg-xdpyinfo,                                         display information utility for X
p,          xorg-server,                                           graphics hardware manager
p,          xorg-server-xvfb,                                      virtual framebuffer X server (useful for headless renderings)
p,          xorg-xrandr,                                           interface to RandR
p,          xorg-xinput,                                           input device manager
p,          xorg-xbacklight,                                       RandR-based backlight control application
p,          xorg-xprop,                                            Property displayer for X
p,          xorg-xwininfo,                                         utility to print information about windows on an X server
p,          xdotool,                                               Command-line X11 automation tool
p,          xcompmgr,                                              The X compositing manager
p,          zathura,                                               PDF viewer
p,          zathura-pdf-mupdf,                                     MuPDF compatibility
m,          https://github.com/ramyamounir/dwm.git,                DWM (Window Manager)
m,          https://github.com/ramyamounir/dwmblocks.git,          DWM blocks
m,          https://github.com/ramyamounir/dmenu.git,              dynamic menu (dmenu)
m,          https://github.com/ramyamounir/st.git,                 st (terminal)
