Manager,    Package,                                               Comments
a,          https://aur.archlinux.org/yay.git,                     Yay package manager
y,          nordvpn-bin,                                           Nord VPN
y,          bluetuith,                                             Bluetooth TUI
y,          brscan4,                                               Brother scanning tool
y,          brscan-skey,                                           Brother scanning tool
y,          teams-for-linux,                                       Microsoft Teams
y,          zoom,                                                  Zoom US
y,          ctpv-git,                                              Previewer for lf
y,          drawio-desktop,                                        DrawIO
y,          apfs-fuse-git,                                         Apple file system (APFS)
y,          fuse-ext2,                                             User-space file system (FUSE)
y,          simple-mtpfs,                                          Simple MTP File System (Simple MTPFS) that supports reading/writing from MTP devices (cell phones)
